【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,上記回答の理由をお答えください（任意）,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。
福井市,とてもそう思う,駅前が賑わっているように思います,ややそう思う,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"まちに賑わいが生まれる, 観光客との交流が生まれる, ガイドなど市民参加の場が広がる",,"騒音やごみの増加, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 駐車場, 体験施設",5,5,,10,,10,,30～39歳,女性
越前町,そうは思わない,,そうは思わない,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,治安の悪化,,"飲食施設, 観光案内所、観光ガイド, 駐車場",3,3,,5,,5,,40～49歳,男性
おおい町,あまりそうは思わない,,あまりそうは思わない,,ややそう思う,,ややそう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場, 体験施設",3,3,,6,,6,,40～49歳,男性
小浜市,そう思う,,ややそう思う,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 障害者や高齢者への配慮（バリアフリー）, 宿泊施設、土産物屋, 体験施設",3,4,,2,,1,,50～59歳,女性
勝山市,あまりそうは思わない,,あまりそうは思わない,,ややそう思う,,とてもそう思う,,そう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"まちに賑わいが生まれる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 駐車場, 体験施設",3,2,,5,,5,,40～49歳,無回答
勝山市,とてもそう思う,,とてもそう思う,,そう思う,,とてもそう思う,,とてもそう思う,,評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 飲食施設, 宿泊施設、土産物屋",4,4,,9,,9,,60～69歳,男性
越前町,あまりそうは思わない,越前町への二時交通がよくない,あまりそうは思わない,関西、中京への便が不便になったから,とてもそう思う,,そう思う,,そう思う,観光で成り立ってる仕事の従事者が多いので,どちらともいえない,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 観光客との交流が生まれる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 自然破壊",,"観光スポットを結ぶ交通機関, 観光マップやパンフレット",4,3,,5,,3,,60～69歳,女性
福井市,とてもそう思う,観光客が増えた,ややそう思う,東京出張が楽になった,ややそう思う,経済が発展,そう思う,賑やかになる,そう思う,いいところがいっぱいあると思うから,どちらかといえば評価している,企業努力を感じる,どちらかと言えば好ましい,アピールになる,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,"交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 駐車場",4,4,,7,,7,,40～49歳,男性
小浜市,ややそう思う,,ややそう思う,,そう思う,,そう思う,,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, 観光イベント",3,2,,7,,6,,40～49歳,女性
坂井市,とてもそう思う,観光客が増えた,ややそう思う,移動時間が短くなった,とてもそう思う,自身が観光業に携わってるから,そう思う,経済がうるおう,とてもそう思う,同上,どちらかといえば評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,観光スポットを結ぶ交通機関,3,4,,7,,7,,50～59歳,男性
