【問１】あなたのお住まいの地域を教えてください。,【問２】北陸新幹線 福井・敦賀開業で、お住まいの市町へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問３】北陸新幹線 福井・敦賀開業で、自身の生活へ良い影響があると思いますか？,上記回答の理由をお答えください（任意）,【問４】観光が福井県に与える影響は、「良い影響」の方が「悪い影響」より大きい。,上記回答の理由をお答えください（任意）,【問５】一人の県民として、福井県を訪れる観光客を歓迎したい。,上記回答の理由をお答えください（任意）,【問６】福井県はこれからも観光客の目的地・旅先であり続けるべきだ。,上記回答の理由をお答えください（任意）,【問７】福井県やお住まいの市町、および関連団体による観光振興の取り組みを住民として評価している。,上記回答の理由をお答えください（任意）,【問８】観光客が増加することについてどのように思いますか？,上記回答の理由をお答えください（任意）,【問９】観光客が増加することで期待される効果について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１０】観光客が増加することで心配される影響について、当てはまると思う選択肢をすべてお答えください,上記でその他を回答した方はその理由をお答えください（任意）,【問１１】観光地として整備する必要があると思われるものについて、当てはまると思う選択肢をすべてお答えください,【問１２】観光客がお住まいの地域に来ることで、自分が住んでいる地域に愛着や誇りを感じる機会がありますか？,【問１３】自分が住んでいる地域を、福井県外の人に自信を持ってお勧めできると感じますか？,上記回答の理由をお答えください（任意）,"【問１４】現在、あなたは福井県での暮らしにどの程度幸せを感じていますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,"【問１５】今から5年後、あなたは福井県での暮らしにどの程度幸せを感じていると思いますか？
「とても不幸」を0点、「とても幸せ」を 10 点とすると、何点になると思いますか。いずれかの数字を1つだけお答えください。",上記回答の理由をお答えください（任意）,あなたのご年齢を教えてください。,あなたの性別をおしえてください。
鯖江市,そう思う,地場産業を観に来る県外の方が増えた気がします。,あまりそうは思わない,,とてもそう思う,,とてもそう思う,,とてもそう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 宿泊施設、土産物屋, 観光案内所、観光ガイド",5,5,,10,,8,,40～49歳,男性
福井市,そう思う,駅前が賑わっていると思う。,ややそう思う,,そう思う,,そう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光イベント, 飲食施設, 宿泊施設、土産物屋",3,4,,8,,8,,30～39歳,女性
若狭町,ややそう思う,,ややそう思う,,ややそう思う,,ややそう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, 飲食施設",4,4,,8,,7,,30～39歳,女性
高浜町,そう思う,"観光客も増えたし、敦賀が栄えた！
実家の大阪へも帰省しやすくなった！",とてもそう思う,"実家の大阪へ帰省しやすくなった！
旅行もしやすく！",そう思う,田舎から少し都会らしくなって楽しい！,とてもそう思う,田舎だけど食べ物も美味しく魅力的です！,とてもそう思う,温泉もあって最高??,とても評価している,,とても好ましい,,観光客の消費によって飲食業や宿泊業が潤う,,騒音やごみの増加,,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",4,4,都会出身ですが緑も多く空気も美味しい！,9,,9,,30～39歳,女性
敦賀市,あまりそうは思わない,乗り継ぎでくるだけで降りる人はあまりいない,あまりそうは思わない,嶺北出身と遊ぶ際乗り換え等が不便になった,あまりそうは思わない,,ややそう思う,,ややそう思う,,どちらともいえない,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 飲食施設, 宿泊施設、土産物屋, 駐車場",4,4,,7,,8,,20～29歳,女性
福井市,あまりそうは思わない,,あまりそうは思わない,,ややそう思う,,そう思う,,そう思う,,どちらかといえば評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 体験施設",3,4,,7,,7,,40～49歳,男性
福井市,とてもそう思う,観光客が多くなった,とてもそう思う,街の活性化,とてもそう思う,街の活性化,とてもそう思う,リピート客を増やす,とてもそう思う,認知度が低いから,どちらかと言えば評価していない,アピールが弱い,とても好ましい,街の活性化,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 観光イベント, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",3,4,人が良い,8,,8,,50～59歳,男性
越前市,ややそう思う,関西方面への交通が不便になった。,あまりそうは思わない,,ややそう思う,,そう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,騒音やごみの増加,,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化",3,3,,7,,7,,60～69歳,女性
敦賀市,全くそうは思わない,,全くそうは思わない,,全くそうは思わない,,ややそう思う,,そうは思わない,,評価していない,,どちらかと言えば好ましい,,観光客の消費によって飲食業や宿泊業が潤う,,騒音やごみの増加,,障害者や高齢者への配慮（バリアフリー）,2,2,,6,,3,,30～39歳,男性
福井市,そう思う,関東方面からの移動が楽になった,あまりそうは思わない,時々大阪へ行きますが、乗り換えが面倒なのと、運賃が上がった,とてもそう思う,経済効果がある,とてもそう思う,,とてもそう思う,,とても評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる",,治安の悪化,,観光スポットを結ぶ交通機関,5,4,,7,,8,,50～59歳,男性
越前市,あまりそうは思わない,周辺に何も無い,全くそうは思わない,,ややそう思う,,ややそう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊, 自然破壊, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光イベント",1,3,,9,,5,,70歳以上,無回答
敦賀市,そう思う,観光客が増えた,あまりそうは思わない,生活に変わりがないから,ややそう思う,活性化,そう思う,マナーよく楽しんでほしい,そう思う,活気がでるから,どちらかといえば評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化",3,3,,7,,7,,50～59歳,女性
坂井市,ややそう思う,人の出入りが多い,とてもそう思う,,とてもそう思う,,とてもそう思う,,そう思う,,とても評価している,,好ましい,,波及効果により他の地場産業が活気づく,,自然破壊,,観光スポットの案内板や標識（多言語表示）,5,5,,10,,10,,30～39歳,女性
大野市,ややそう思う,手前に勝山もあり、ついでに大野による人が増えるかなと思う,あまりそうは思わない,,ややそう思う,,そう思う,海鮮が美味しく、子供がいて恐竜が好きなので,そう思う,,評価している,,どちらともいえない,恐竜博物館がとても綺麗なり良いが混雑するから,"まちに賑わいが生まれる, 地域の知名度が上がる",,交通渋滞や路上駐車などの交通環境の悪化,,"観光スポットを結ぶ交通機関, 観光イベント, 飲食施設",4,4,,10,,10,,30～39歳,女性
福井市,そう思う,関東からの観光客やビジネスマンが増えた気がする,とてもそう思う,東京へ行きやすくなった,とてもそう思う,福井県のPRになる,そう思う,福井のことを知ってもらいたい,とてもそう思う,,どちらかといえば評価している,PR活動が足りない気がする,とても好ましい,活気が出る,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,自然破壊,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, 飲食施設, 観光案内所、観光ガイド",5,4,,9,,9,,50～59歳,女性
坂井市,とてもそう思う,東京へのアクセスが便利になった,とてもそう思う,東京まで行きやすくなった,そう思う,,ややそう思う,,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 宿泊施設、土産物屋",3,3,,5,,5,,50～59歳,女性
福井市,そうは思わない,出ていく方が多そう。関西と行き来しにくい,全くそうは思わない,関係ないし,とてもそう思う,消費していってくれたら良い,とてもそう思う,理由なんてない,ややそう思う,目的地にしてくれたらいいけど、これからも、ってとこに引っかかった。福井はついでに寄ってくれる感じ,どちらともいえない,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,特に心配はない,,"観光スポットの案内板や標識（多言語表示）, 飲食施設, 宿泊施設、土産物屋, 体験施設",1,2,,6,,5,,40～49歳,女性
越前市,ややそう思う,,ややそう思う,,そう思う,,とてもそう思う,,とてもそう思う,,評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる",,特に心配はない,,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光案内所、観光ガイド, 駐車場",3,3,,8,,8,,60～69歳,女性
小浜市,とてもそう思う,敦賀から関東圏　東北地方に行くのが便利になった,とてもそう思う,行動範囲が広くなった,とてもそう思う,街に活気が出た,とてもそう思う,いろんな人がいるけれど、地域活性化になる,とてもそう思う,食べ物も美味しい、物価も安いので、ぜひきて欲しい,とても評価している,福井県が、積極的にアピールするのは、すごいと思う,とても好ましい,たくさんの人が、やってくるのは大切,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる",,特に心配はない,,"観光イベント, 飲食施設, 宿泊施設、土産物屋",3,4,観光地化されてないから,8,暮らしやすい,9,治安が良く、生活しやすい,60～69歳,女性
越前町,ややそう思う,旧越前町は観光客が増えたと思う,ややそう思う,福井駅前の店が増えたから,そう思う,観光客が増えたから,ややそう思う,前が観光客が少なかったなら,ややそう思う,経済的にいい影響があると思う,評価している,色々な取り組みをしている印象がある,どちらかと言えば好ましい,それにより混雑しすぎると困るが、経済的な効果は無視できない,観光客の消費によって飲食業や宿泊業が潤う,観光地の飲食店には経済的に効果がありそう,"騒音やごみの増加, 治安の悪化",マナーの悪い外国人は歓迎しない,"観光スポットを結ぶ交通機関, 観光マップやパンフレット",4,3,恐竜博物館や食べ物はおすすめできそう,5,あまり混雑しているところがなく暮らしやすい,5,特に変わらない気がする,30～39歳,女性
美浜町,ややそう思う,インバウンドの増加,ややそう思う,群馬長野が近くなった,ややそう思う,人流ができた,とてもそう思う,観光客の視点が入ることが大事,そう思う,,評価していない,エリアとしての魅力を生み出すことに成功していないから,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 波及効果により他の地場産業が活気づく, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"交通渋滞や路上駐車などの交通環境の悪化, 歴史文化資源の破壊",,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光マップやパンフレット, 飲食施設, 宿泊施設、土産物屋, 体験施設",4,3,,8,友人がたくさんいる,7,高齢化が著しすぎる,30～39歳,男性
福井市,とてもそう思う,観光客が増えていると感じる,そう思う,大阪に行きにくくなった,そう思う,観光しに来て福井に住みたいと思う人がいると思う,ややそう思う,,そう思う,,評価している,,好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, 移住・定住のきっかけとなる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光案内所、観光ガイド, 駐車場",2,4,,8,商業施設などで、他県にあって福井にないものも多い,8,人口が減っていそう,20～29歳,女性
福井市,とてもそう思う,観光客の増加を感じる,とてもそう思う,関東方面へのアクセスが良くなった,とてもそう思う,福井の魅力を知ってもらえる機会となり、移住者の増加を見込める為,とてもそう思う,福井県に愛着があり、より多くの人に福井の良さを知ってもらいたい為,とてもそう思う,福井は海や山の幸が多く、魅力が詰まっており、未だ認知されていないと考えている為,どちらかといえば評価している,恐竜を全面に打ち出した政策は県外客の目線で考えると目を惹く為、評価できる,好ましい,道路の混雑等が無ければ良いと思う。,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる, ガイドなど市民参加の場が広がる",全国的に福井は観光業の潜在的な魅力を持っていると考えている為,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化",特になし,"観光スポットを結ぶ交通機関, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 宿泊施設、土産物屋, 観光案内所、観光ガイド, 駐車場",5,5,前述のとおり,10,,8,人口減少によるインフラの維持は不安,30～39歳,男性
鯖江市,あまりそうは思わない,鯖江に新幹線の駅がないため,あまりそうは思わない,関西方面に行く際、不便に感じるから,あまりそうは思わない,,ややそう思う,,ややそう思う,,どちらともいえない,,どちらかと言えば好ましい,,まちに賑わいが生まれる,,交通渋滞や路上駐車などの交通環境の悪化,,観光スポットを結ぶ交通機関,3,2,大人が楽しめる場所が少ないと感じるから,5,,5,,20～29歳,女性
福井市,ややそう思う,,あまりそうは思わない,,そう思う,,ややそう思う,,ややそう思う,,どちらかといえば評価している,,どちらかと言えば好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化, 治安の悪化",,"観光スポットを結ぶ交通機関, 観光スポットの案内板や標識（多言語表示）, トイレ・休憩所等の整備及びユニバーサル化, 観光イベント, 障害者や高齢者への配慮（バリアフリー）, 観光マップやパンフレット, 宿泊施設、土産物屋, 駐車場, 体験施設",3,3,,7,,7,,60～69歳,女性
坂井市,そう思う,観光客が増えた,そう思う,,そう思う,,そう思う,,そう思う,,評価している,,とても好ましい,,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,特に心配はない,,"観光スポットを結ぶ交通機関, 障害者や高齢者への配慮（バリアフリー）",4,4,,8,,7,,60～69歳,男性
大野市,ややそう思う,"東京が身近になっ
た",ややそう思う,東京に早く行ける,そう思う,,とてもそう思う,本物の魅力を知ってもらえる,そう思う,,評価している,,どちらかと言えば好ましい,,"まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 地域の知名度が上がる, 観光客との交流が生まれる",,"騒音やごみの増加, 治安の悪化, 日常生活に影響が出るほどの不安",,"トイレ・休憩所等の整備及びユニバーサル化, 障害者や高齢者への配慮（バリアフリー）, 飲食施設",3,3,,9,,7,,40～49歳,女性
越前市,そう思う,他県からやいろいろな方が来るから,あまりそうは思わない,東京へは便利になったが、関西へに行くのが不便かと。ハピラインに繋がりがないのが残念。,ややそう思う,,そう思う,,そう思う,,どちらかといえば評価している,,とても好ましい,福井が活気づく,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 地域の知名度が上がる, 観光客との交流が生まれる",,"騒音やごみの増加, 交通渋滞や路上駐車などの交通環境の悪化",,"観光スポットを結ぶ交通機関, 障害者や高齢者への配慮（バリアフリー）, 飲食施設, 宿泊施設、土産物屋, 駐車場",4,4,,8,,7,,40～49歳,女性
福井市,そう思う,観光客が増加したこと。そのためお店が増えて、住民にもメリットが感じられる。,とてもそう思う,福井市内のお店やホテルが増えたこと。選択肢の幅が広がった。信州方面へ遊びに行くことが楽になった。,とてもそう思う,お店が増えると、雇用も増える。,とてもそう思う,色も自然もとても良いから,とてもそう思う,循環型の社会が必要,評価している,恐竜というわかりやすいコンテンツに絞ったことは、周りに周知しやすい,好ましい,経済が回る,"観光客の消費によって飲食業や宿泊業が潤う, まちに賑わいが生まれる, 波及効果により他の地場産業が活気づく, 歴史文化資源の保存活用につながる, 移住・定住のきっかけとなる",,"交通渋滞や路上駐車などの交通環境の悪化, 自然破壊, 治安の悪化",,"観光イベント, 飲食施設, 宿泊施設、土産物屋, 駐車場",5,5,良いところだから,9,不満はない,9,困り感がない,30～39歳,女性
